,QQQ,XLK,DIA,XLF,SPY,TLT
DOCU,0.6063347335740997,0.5982534000330335,0.2844963834928187,0.06416979825196413,0.44215259652975575,0.2333964531929575
FTNT,0.5103406661324714,0.5017872290127461,0.29479526623053576,0.02354102631343343,0.40748318676583045,0.2168660606176792
BOX,0.5377336977611453,0.5252608574059082,0.2798177347912745,0.11441652425807185,0.3970364548136778,0.18437915520373807
SABR,0.394416043029993,0.40812367289023493,0.5588477484869899,0.44737897832465484,0.5278094002537627,-0.16281073397670903
ASAN,0.491626005839393,0.4788929339195291,0.33169978346771073,0.10608858115922615,0.4115483712724389,0.05469758022174398
EA,0.44994603503520275,0.4292621437415159,0.18291468037114086,-0.01692228802225293,0.32571628562540883,0.1724994417922667
TWTR,0.5643663699974888,0.5648937603732354,0.2980012026595296,0.04670241927211326,0.4664780896509581,0.12775986433795417
SNAP,0.48569026915986213,0.48494682932805394,0.36042423850576394,0.1764546878448577,0.4280952523411346,0.04081295760145625
PLAN,0.6395875595984529,0.623904894382184,0.3049621060221824,0.05592945074637403,0.46705087024628966,0.22583846108019684
AFRM,0.4806044175556913,0.49780677137688584,0.402415341928196,0.24245235031748882,0.45129367271206505,0.08444280795734244
PAYO,0.01880145236480153,0.023174257551297598,0.04461933561105124,0.09433859949666029,0.024085173365748433,0.046230009932542414
TWLO,0.5336986910303506,0.537825298615752,0.281688452647731,0.05765647186313704,0.42107604993827424,0.113970664587601
DT,0.5910244151248792,0.5833603394362613,0.3347482743469801,0.08450728151620175,0.4958419811470268,0.11256759453747732
RIOT,0.2635564261101151,0.2505251795775089,0.24015202044035136,0.13608127716385524,0.2638858005633179,0.017482774323883597
FEYE,0.464321806652507,0.47725183795190845,0.3300800935207691,0.1486562406211025,0.40066037591512976,0.23458534734527098
DXC,0.2884809068368233,0.3286725075887735,0.5409544159227703,0.5098617964982998,0.4673524889768921,-0.24535145718849824
FLT,0.42038308337907976,0.42097530821236995,0.649267518510181,0.6304223574758557,0.5742193512897594,-0.2578254920498915
