,mae,mae_main_etf,r2_score,r2_score_main_etf,shapiro_normal,pearson_normal,ks_normal,chisquare_normal,shapiro_normal_main_etf,pearson_normal_main_etf,ks_normal_main_etf,chisquare_normal_main_etf,n_days_error_bt_mae,n_days_error_bt_main_etf_mae,mean_abs_diff_when_bt_mae,mean_abs_diff_when_bt_main_etf_mae,stock_std,mean,lower_sigma,upper_sigma,lower_two_sigma,upper_two_sigma,r2_score_full,r2_score_main_etf_full
RNG,0.7072310193563722,0.742817258917898,0.1864474045315475,0.16470111398212983,False,False,False,True,False,False,False,True,35,35,1.6705014382226817,1.709533914942873,1.0735483526692717,0.00043943612835317507,-1.0731089165409187,1.0739877887976248,-2.1466572692101904,2.1475361414668965,0.3038048662763959,0.28742726041717215
ADBE,0.40808628447316875,0.42702804778554937,0.11150451949425277,0.10522837778311822,False,False,False,True,False,False,False,True,32,31,1.021523154539063,1.0876893104393388,0.7482267443871871,0.12201098555756013,-0.6262157588296269,0.8702377299447472,-1.374442503216814,1.6184644743319343,0.33755391297531634,0.3350121274493525
CHWY,0.7427269135945912,0.685529677418542,-0.01772608452466029,0.06914721206948737,False,False,False,False,False,False,False,False,41,38,1.5117178765724146,1.5103949426887038,0.9807331243889957,0.00235706376238776,-0.978376060626608,0.9830901881513835,-1.9591091850156037,1.9638233125403792,0.20583173023578527,0.1918700731654276
WDAY,0.5183948920658046,0.5500244702845206,0.1754149442166727,0.16405323737638944,False,False,False,False,False,False,False,True,34,32,1.2712741762080022,1.4136085854136968,0.8437381111390964,-0.029003156187224904,-0.8727412673263213,0.8147349549518714,-1.7164793784654175,1.658473066090968,0.44747964051335376,0.36859956089084556
AKAM,0.3960401798517688,0.37676192438432954,0.02222148943568969,0.09864472275346092,False,False,False,True,False,False,False,True,36,33,0.9095875276072165,0.9246718101647357,0.5208742382891884,0.0013295032404134733,-0.519544735048775,0.5222037415296019,-1.0404189733379634,1.0430779798187904,0.28185156157846003,0.20723313883171857
CRWD,0.76436280096725,0.7736552858474788,0.20316717546804397,0.24366375463514933,False,False,False,True,False,False,False,True,41,42,1.6488652902681993,1.659907374838339,1.193957182356604,0.1422360423831968,-1.0517211399734072,1.3361932247398007,-2.245678322330011,2.530150407096405,0.3766028183746245,0.33739062435451483
U,1.0397105130255742,0.7455816708694615,-0.829088206298217,0.16323594491711446,False,False,False,False,False,False,False,False,42,33,2.1208179611424165,1.8835548405834384,1.2935230073968418,-0.13963496944679424,-1.433157976843636,1.1538880379500476,-2.726680984240478,2.447411045346889,,
AMZN,0.37865341860503426,0.39000222606246143,0.148935944347377,0.15882993887980823,False,False,False,True,False,False,False,True,40,42,0.8396557945411256,0.8318046361110996,0.8009181300503144,0.06578983418397047,-0.735128295866344,0.8667079642342849,-1.5360464259166584,1.6676260942845993,0.3129825303098357,0.22902888835259183
FIS,0.2772781457259025,0.3834713257894593,0.05075257337456973,0.030060264072405696,False,False,False,True,False,False,False,True,37,51,0.6239562877287508,0.6729638196788755,0.44471444065975607,0.06403247426196208,-0.380681966397794,0.5087469149217182,-0.82539640705755,0.9534613555814743,0.308958360481445,0.1598959229919138
ACN,0.33438067153413736,0.38282319344418286,0.18671833841843943,0.037333364410768066,False,False,False,True,False,False,False,True,44,50,0.6762526258695626,0.7047816103100508,0.4810828957276781,0.1148873024591589,-0.3661955932685192,0.595970198186837,-0.8472784889961973,1.077053093914515,0.3444468436953734,0.09485412645313862
TEAM,0.8024072858656375,0.7206374809254558,-0.3708282751200549,-0.056678374532479925,False,False,False,False,False,False,False,False,24,29,2.6544337516198886,2.0812726674660507,1.691017191116889,0.10599022754854255,-1.5850269635683465,1.7970074186654315,-3.2760441546852355,3.4880246097823204,0.13487041267497624,0.019343711064886304
IBM,0.31727190811059836,0.35525078685662487,0.08520349646725733,-0.001899227229604783,False,False,False,True,False,False,False,True,31,36,0.8397538047678375,0.8354224373844273,0.39163170234774347,0.00015088132393295802,-0.3914808210238105,0.39178258367167645,-0.783112523371554,0.7834142860194199,0.3755913868606857,0.06162106817935886
PINS,1.0731232385607816,0.916685757647015,-0.05023515094150799,0.08599048142792054,False,False,False,False,False,False,False,False,27,27,3.1253486264132513,2.791773907495074,1.890796757340653,-0.1772387239073117,-2.0680354812479647,1.7135580334333413,-3.958832238588618,3.604354790773994,,
PLAN,0.8792222752819936,0.8306584861790971,0.004130284979565357,0.06908979443025975,False,False,False,False,False,False,False,False,21,24,3.2866643498069075,2.8084227196768565,1.0126044987280574,0.07407001428746304,-0.9385344844405943,1.0866745130155204,-1.9511389831686516,2.099279011743578,0.4592623388248933,0.3940186901953656
ZNGA,0.6010910325313087,0.6028621917970688,0.05331513317256931,0.056447907727234736,False,False,False,False,False,False,False,False,27,30,1.863197410848139,1.6912415868275374,1.4900191468475141,-0.09973204925254081,-1.589751196100055,1.3902870975949733,-3.079770342947569,2.8803062444424876,0.14173032853412126,0.39684525390484304
SQ,0.8343145580108295,0.7483863420843343,-0.10378911218295594,0.2908033799170804,False,False,False,False,False,False,False,True,47,38,1.5470302258564945,1.6390106317138076,1.2695623108198726,0.1068717505343369,-1.1626905602855357,1.3764340613542094,-2.4322528711054083,2.645996372174082,0.4013452889871759,0.3558501335094917
DBX,0.4461614554488166,0.470410106684747,0.16347948570755944,0.18089214426043765,False,False,False,True,False,False,False,True,30,43,1.1169146872331075,0.9496702367677144,0.7588786620854547,0.030604130339062494,-0.7282745317463922,0.7894827924245172,-1.487153193831847,1.548361454509972,0.255079347187666,0.25887761235530504
TWTR,0.6858428959257467,0.6601870176429735,-0.019987641559236824,0.1345088164122329,False,False,False,False,False,False,False,False,28,30,2.070600575988292,1.831067270592485,0.9431554011283836,0.07878055173157715,-0.8643748493968064,1.0219359528599608,-1.80753025052519,1.9650913539883443,0.33236194371187133,0.3050932360150065
ADSK,0.4484909937711115,0.4907798146120503,-0.05504416830583647,0.15526786137998383,False,False,False,False,False,False,False,True,27,40,1.2399830724729441,1.0410483414174885,0.7334073678720849,0.03564510191936548,-0.6977622659527195,0.7690524697914504,-1.4311696338248043,1.5024598376635354,0.3569178133265777,0.3339591675613709
SPLK,0.6725730039643876,0.7086117268511986,0.07116499225480022,0.10451264778383418,False,False,False,False,False,False,False,False,27,33,2.087042210822748,1.8579525693376753,0.8151977198161883,0.01991510269810565,-0.7952826171180826,0.835112822514294,-1.6104803369342708,1.6503105423304822,0.3934883512789813,0.34453997946558157
ZS,0.7378969000314071,0.7672949433447467,0.0913846613528091,0.09514640891766457,False,False,False,False,False,False,False,False,33,36,1.7966572372811525,1.7320315985734367,1.0814910094586305,0.1283777666329943,-0.9531132428256363,1.209868776091625,-2.0346042522842667,2.2913597855502554,0.34734892464552336,0.2977640626531981
